电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名
大雄的怀念奶奶,渡边步,藤子·F·不二雄,大山信代/小原乃梨子/立壁和也/肝付兼太/野村道子/高村章子/千千松幸子/大本真基子/关智一/くじら/佐久间玲,动画,日本,日语,2000-03-11,26分,奶奶的思念/奶奶的回忆
代号基亚斯：反叛的鲁路修1之兴道,谷口悟朗,大河内一楼/谷口悟朗,福山润/樱井孝宏/野上尤加奈/小清水亚美/名塚佳织/折笠富美子/大原沙耶香/杉山纪彰/千叶纱子/若本规夫/井上喜久子/皆川纯子/南央美/梁田清之/成田剑/飞田展男/中田让治/真殿光昭/桧山修之/加濑康之/新井里美/私市淳/二又一成/辻亲八,科幻/动画,日本,日语,2017-10-21(日本),135分钟,CodeGeass:LelouchoftheRebellion/CODEGEASS:PannideLuluxiuI-Xingdao/KôdoGiasu:HangyakunoRurûshuI-Kôdô
欢乐时光,滨口龙介,滨口龙介/野原位/高桥知由,田中幸惠/菊池叶月/三原麻衣子/川村莉拉/申芳夫/三浦博之/謝花喜天/柴田修平/出村弘美/坂庄基/久貝亜美/田辺泰信/渋谷采郁/福永祥子/伊藤勇一郎/殿井歩/椎橋怜奈,剧情,日本,日语,2015-12-12(日本),317分钟,她们最好的时光(港)/HappyHour/Senses
悠哉日常大王剧场版：假期活动,川面真也,吉田玲子,小岩井小鸟/村川梨衣/佐仓绫音/阿澄佳奈/名塚佳织/佐藤利奈/福圆美里/新谷良子/下地紫野/平松晶子/筱原惠美/绫濑有,喜剧/动画,日本,日语,2018-08-25(日本),71分钟,NonNonBiyoritheMovie:Vacation
莫扎特！,HarryKupfer,MichaelKunze,OedoKuipers/ThomasBorchert/MarkSeibert/FranziskaSchuster,歌舞,奥地利Austria,德语,2015-12-04(奥地利),,
卡斯特纳与小星期二,沃尔夫冈·穆尔恩贝格,DorotheeSchön,弗洛里安·大卫·菲茨/NikolausBarton/HansLöw/NicoRamonKleemann/JaschaBaum,剧情,德国,德语,2016-06-26(德国),90分钟,友谊之桥
浓情酒乡,塞德里克·克拉皮斯,塞德里克·克拉皮斯/圣地亚哥·阿米戈雷纳/让-马克·鲁洛,皮奥·马麦/安娜·吉拉多特/弗朗索瓦·西维尔/让-马克·鲁洛/玛利亚·瓦沃德/雅米·库卓/让-马利·文灵/弗罗伦斯·派梅尔/埃里克·卡拉瓦卡/萨拉·格莱宾/陶菲克·杰拉巴/卡丽佳·图尔,剧情/喜剧,法国,法语/英语/西班牙语,2017-06-14(法国),113分钟,情寻酒乡(港)/回到勃艮第/BackToBurgundy
续·终物语,新房昭之,新房昭之/西尾维新/东富耶子,神谷浩史/斋藤千和/加藤英美里/泽城美雪/花泽香菜/堀江由衣/喜多村英梨/井口裕香/早见沙织/井上麻里奈/坂本真绫/水桥香织/根谷美智子,动画,日本,日语,2018-11-10(日本),148分钟,
独孤：倒回,崔恩重,,吴世勋/姜美娜/李济延/金熙镇/姜多贤/安宝贤,动作,韩国,韩语,2018-09-07(韩国),200分钟,独孤rewind
遥望南方的童年,易寒,,易志兵/何伟欣/谢媛,剧情,中国大陆,普通话/国语,2007,91分钟,TheRisingStarKindergarten
我这样过了一生,张毅,张毅/萧飒,杨惠姗/李立群/刘明/文英/英英/丁也恬/萧志文/吴敏/邵罗辉/胡翔评/罗条慧/周平/林正明/蔡瑟芬/陈显元/陈玉辉/庹宗康/罗文诚,剧情/家庭,台湾,汉语普通话,1985-10-09(台湾),120分钟,"Kuei-mei,aWoman"
银河铁道之夜,杉井仪三郎,宫泽贤治/HiroshiMasumura/別役实MinoruBetsuyaku,田中真弓/坂本千夏/堀絢子JunkoHori/纳谷悟朗/金田龙之介,剧情/动画/悬疑/奇幻/冒险,日本,日语,1985-07-13(日本),113分钟,Ginga-tetsudonoyoru/NightontheGalacticRailroad/NightontheMilkyWayRailroad/银河铁道之夜
我的英雄学院 第2季：英雄笔记,长崎健司,黑田洋介,山下大辉/冈本信彦/佐仓绫音/石川界人/梶裕贵YûkiKaji/增田俊树/广桥凉/悠木碧/井上麻里奈/细谷佳正/喜多村英梨/真堂圭,剧情/动作/动画,日本,日语,2017-03-25,24分钟,
罗马11时,朱塞佩·德·桑蒂斯,朱塞佩·德·桑蒂斯/科拉多·阿尔瓦罗/巴西利奥·弗兰基纳/埃里奥·贝多利/詹尼·普奇尼/鲁道夫·索内戈/切萨雷·扎瓦蒂尼,伊娃·瓦尼切克/卡拉·德尔·波吉奥/马西莫·吉洛蒂/露西娅·波塞/雷夫·瓦朗/埃莱娜·瓦尔齐/莱亚·帕多瓦尼/德利娅·斯卡拉/伊雷娜·加尔特/保罗·斯陶帕/玛丽亚·格拉齐亚·弗兰恰/NaudioDiClaudio/阿曼多·弗兰西欧利/保拉·布鲁布尼/RomoloBartolomeo,剧情,意大利/法国,意大利语,1952-02-27(意大利),107分钟,Rome11:00/罗马十一时/罗马十一点钟
柠檬水,碧昂丝·诺尔斯/乔纳斯·阿克伦德/卡希尔·约瑟夫,华沙·希雷,碧昂丝·诺尔斯/杰斯/克洛伊·贝利/哈里·贝里/米凯拉·迪普利斯/马修·诺尔斯/蒂娜·诺尔斯/理查德·劳森/奎文赞妮·瓦利斯/塞蕾娜·威廉姆斯/赞达亚/阿曼德拉·斯坦伯格,音乐,美国,英语,2016-04-23(美国),65分钟,
葛饰北斋：为画痴狂,PatriciaWheatley,,蒂姆·克拉克/罗杰·凯斯,紀錄片Documentary,英国,英語English,2017-06-04(英国),90分钟,BritishMuseumpresents:Hokusai
笑傲江湖,黄健中/元彬,,李亚鹏/许晴/巍子/李解/茅威涛/苗乙乙/吕晓禾/涂们/刘冬/彭登怀/修宗迪/丛志军,剧情/动作/爱情/武侠/古装,中国大陆,汉语普通话,2003-05(中国大陆),112分钟,笑傲江湖电影版
黄子华栋笃笑之金盘𠺘口,黄子华,黄子华,黄子华,喜剧,香港,粤语,2018-07-06(香港),160分钟,
旅猫日记,三木康一郎,有川浩/平松惠美子,福士苍汰/高畑充希/广濑爱丽丝/大野拓朗/山本凉介/前野朋哉/竹内结子,剧情,日本,日语,2018-10-26(日本),118分钟,TabinekoReport/TheTravellingCatChronicles
不设限通缉,西德尼·吕美特,妮奧美·芳娜,克里斯汀·拉蒂/瑞凡·菲尼克斯/玛莎·普林顿/贾德·赫希/乔纳斯·阿布里,剧情/音乐/犯罪,美国,英语,1988-09-09,116分钟,空转/凭空跃进/一事无成
妄想学生会 剧场版,金泽洪充,金泽洪充/氏家ト全(原作),浅沼晋太郎/日笠阳子/佐藤聪美/矢作纱友里/斋藤千和/上坂堇/下田麻美/日野未步/加藤英美里/小见川千明/小林优/新井里美/田村睦心/椎名碧流/平野文/布里德卡特·塞拉·惠美/田中爱美/白石稔,喜剧/动画,日本,日语,2017-07-21(日本),60分钟,
青春冒险王,米歇尔·贡德里,米歇尔·贡德里,安格·达尔让/希奥菲尔·巴奎特/奥黛丽·塔图/法比奥·泽诺尼/让娜·比蒂诺娃/泽姆斯基/马克·德拉鲁/戴安·贝尼耶/文森特·拉穆勒/萨沙·布铎,喜剧,法国,法语,2015-07-08(法国),105分钟,两个沸青去旅行(港)/Microbe&Gasoline
克罗地亚宪法,拉伊科·格尔利奇,拉伊科·格尔利奇/安特·托米奇,内博伊沙·格洛戈瓦茨/德扬·阿西莫维奇/克塞尼娅·马林科维奇/博兹达尔·斯密贾尼克/玛拉登·赫仁/玛蒂贾·希吉尔/兹登科·杰尔克/罗伯特·乌格里纳/泽利科·科尼斯内特/伊莲娜·乔瓦诺娃/卢卡·德拉季奇/达丽娅·洛伦西/泽利科·杜夫尼亚克,剧情/喜剧/同性,克罗地亚/捷克/斯洛文尼亚/马其顿,克罗地亚语,2016-09-03(蒙特利尔电影节)/2016-10-06(克罗地亚),93分钟,TheConstitution/ConstitutionoftheRepublicofCroatia
砂制时镜下的疗养院,沃伊切赫·哈斯,沃伊切赫·哈斯/布鲁诺·舒尔茨,扬·诺维茨基/塔德乌什·孔德拉特/伊雷娜·奥斯卡/哈利娜·科瓦尔斯卡/格斯塔·霍洛贝克,剧情/奇幻,波兰,波兰语,1973-12-12,124分钟,沙漏/用沙漏做招牌的疗养院/TheSandglass/TheHourglassSanatorium
工作,埃曼诺·奥尔米,埃曼诺·奥尔米/EttoreLombardo,LoredanaDetto/SandroPanseri/MaraRevel/图利奥·凯齐赫,剧情/喜剧,意大利,意大利语,1962-10-15,93分钟,年轻人的烦恼/谋职记/TheJob
理查三世,多米尼克·库克,本·鲍尔,本尼迪克特·康伯巴奇/朱迪·丹奇/凯莉·霍威/本·丹尼尔斯/苏菲·奥康内多/詹姆斯·弗雷特/菲比·福克斯/山姆·特劳顿/卢克·崔德威,剧情/传记/历史,英国,英语,2016-05-21(英国),130分钟,空王冠：玫瑰战争3/TheHollowCrown:TheWarsOfTheRoses3
阴谋,弗兰克·皮尔森,洛林·曼德尔,ClareBullus/StanleyTucci/SimonMarkey/KennethBranagh,剧情/历史/战争,美国/英国,英语/德语,2001-05-19,92分钟,纳粹大猎杀/万湖会议/纳粹屠杀阴谋
与安德烈晚餐,路易·马勒,安德烈·格雷戈里/华莱士·肖恩,华莱士·肖恩/安德烈·格雷戈里/让·莱瑙尔/RoyButler,剧情/喜剧,美国,英语,1981-10-11,110分钟,与安德雷共进晚餐/与安德雷吃晚餐/MyDinnerwithAndré
帷幕：波洛的最后一案,希提·麦克唐纳,阿加莎·克里斯蒂/凯文·埃尔约特,大卫·苏切/休·弗拉瑟/艾丹·麦克阿德尔/艾丽丝·奥尔尤因/海伦·巴克森代尔/大卫·叶兰德,悬疑/犯罪,英国,英语,2013-11-13(英国),90分钟,幕/谢幕/幕后凶手/别墅阴云
安琪拉的灰烬,艾伦·帕克,艾伦·帕克/弗兰克·麦考特/劳拉·琼斯,艾米丽·沃森/罗伯特·卡莱尔/迈克尔·莱格/CiaranOwens/乔·布林,剧情,美国/爱尔兰,英语,2000-01-14,145分钟,天使的孩子/安吉拉一家/安吉拉的灰烬
南方,维克多·艾里斯,维克多·艾里斯,奥梅罗·安东努蒂/SonsolesAranguren/伊西亚尔·博利亚因,剧情/爱情,西班牙/法国,西班牙语,1983-05-19,Spain:95分钟,TheSouth
亚人3：冲戟,濑下宽之/安藤裕章,濑古浩司,宫野真守/樱井孝宏/福山润/大塚芳忠/平川大辅/小松未可子/木下浩之/吉野裕行,剧情/动画/悬疑/惊悚,日本,日语,2016-09-23(日本),121分钟,
与墨索里尼喝茶,佛朗哥·泽菲雷里,佛朗哥·泽菲雷里/约翰·莫蒂默,雪儿/朱迪·丹奇/琼·普莱怀特/玛吉·史密斯/莉莉·汤姆林/贝尔德·华莱士,剧情/喜剧/战争,意大利/英国,英语/意大利语,1999-03-26,117分钟,温馨人生/情深一吻
诸神的欲望,今村昌平,长谷部庆治/今村昌平,三国连太郎/河原崎长一郎/沖山秀子,剧情,日本,日语,1968-11-22,Canada:172分钟,诸神的深欲/ProfoundDesiresOfTheGods/KamigaminoFukakiYokubo
死亡之夜,AlbertoCavalcanti/巴兹尔·迪尔登/查尔斯·克莱顿/罗伯特·哈默,AngusMacPhail/赫伯特·乔治·威尔斯/H·G·威尔斯H.G.Wells/约翰·贝恩斯/T·E·B·克拉克,默文·约翰斯/罗兰·卡尔弗/玛丽·梅罗尔/乔姬·韦瑟斯/弗雷德里克·瓦尔克/安东尼·贝尔德/莎莉·安·豪威斯/RobertWyndham/朱迪·凯利/迈尔斯·马勒森/迈克尔·艾伦/BarbaraLeake/拉夫·迈克尔/埃斯米·珀西/巴西尔·拉德福德,悬疑/惊悚/恐怖,英国,英语/法语,1945-09-04,103分钟/USA:77分钟/Germany:95分钟,深夜
T省的八四、八五年,杨延晋,柳国庆,达式常/叶志康/王伟平/张瑞芳/鲁非/翟乃社/严永瑄/谈鹏飞/张晓敏,剧情,中国大陆,汉语普通话,1986,94分钟,T省大风暴(港)/T省的84·85年/TProvincein'84&'85
霹雳奇幻 生死一剑,虚渊玄/黄强华/郑保品,虚渊玄/江波光则,鸟海浩辅/诹访部顺一/桧山修之/千叶一伸/安元洋贵/大川透/户松遥/小山力也/佐佐木义人/拜真之介/福西胜也/巴多利胜悟/西川贵教/鹤冈聪/黄文择/新垣樽助/高垣彩阳/速水奖/小西克幸/黄汇峰,动作/动画/奇幻/武侠,日本/台湾,日语/闽南语,2017-12-02(日本)/2017-12-08(台湾),75分钟,霹雳幻想生死一剑/ThunderboltFantasy东离剑游纪外传/ThunderboltFantasy:TheSwordofLifeandDeath
少女与战车 最终章 第1话,水岛努,吉田玲子,渊上舞/茅野爱衣/尾崎真实/井口裕香/福圆美里/高桥美佳子/植田佳奈/菊地美香/仙台惠理/大桥步夕/山冈百合/井泽诗织/山本希望/椎名碧流/津田美波/安济知佳,喜剧/动作/动画,日本,日语,2017-12-09(日本),47分钟,GirlsundPanzerdasFinale:PartI
通往自由的通道,罗兰德·苏索·里希特,JohannesW.Betz,海诺·费尔希/尼科莱特·克雷比茨/塞巴斯蒂安·科赫/亚历山德拉·玛丽亚·拉娜/克劳迪亚·米歇尔森/菲力克斯·伊特纳/穆罕默德·库尔图卢斯,剧情/动作/惊悚/历史,德国,德语,2001-01-21(德国),150分钟/188分钟(2部分)/167分钟(剧场版),TheTunnel/隧道
红军与白军,米克洛斯·杨索,乔治·姆季瓦尼/盖维拉·赫尔纳迪,JózsefMadaras/TiborMolnár/AndrásKozák,剧情/战争,匈牙利/苏联,匈牙利语/俄语,1968-08-30,90分钟,红与白(台)/TheRedandtheWhite
布加勒斯特东12点8分,柯内流·波蓝波宇,柯内流·波蓝波宇,MirceaAndreescu/特奥多·科尔班/伊昂·萨普达鲁/MirelaCioaba/卢米妮察·乔治乌/CristinaCiofu/LucianIftime/AnnemarieChertic/PetricaSapdaru/CatalinParaschiv/GeorgeGuoqingyun/ConstantinDita/DanielBadale/MariusRogojinski/AureliaTocu,剧情/喜剧,罗马尼亚,罗马尼亚语,2006-09-29,89分钟,布加勒斯特以东午后8分/十二点零八分位在布加勒斯特东边/12:08EastofBucharest
战火,罗伯托·罗西里尼,罗伯托·罗西里尼/费德里科·费里尼,CarmelaSazio/RobertVanLoon/BenjaminEmanuel,剧情/战争,意大利,意大利语/英语/德语/西西里语,1946-12-10,USA:120分钟/134分钟(restoredversion)/Italy:125分钟,游击队/战火的彼岸/老乡/Paisan
冰上轻驰,乔·德特杜巴,LynnSiefert/TommySwerdlow/MichaelGoldberg/迈克尔·瑞奇,约翰·坎迪/雷蒙德·J·巴里/里昂·罗宾逊/马利克·约巴/道格·伊·道格/RawleD.Lewis/马利克·约巴,喜剧/家庭/冒险/运动,美国,英语/德语/俄语,1993-10-01,98分钟,凉快的跑道/癫疯总动员/男儿当冲线/赤道雪车/勇往直前
海贼王娜美篇：航海士的眼泪与牵绊,尾田荣一郎,尾田荣一郎,田中真弓/冈村明美/中井和哉/山口胜平/平田广明/大谷育江/山口由里子/矢尾一树/长岛雄一/小杉十郎太/日高法子/盐屋浩三/山崎和佳奈/麻生智久/森川智之/小野坂昌也/江川央生/高冢正也/高户靖广/挂川裕彦/服卷浩司/增谷康纪/三浦祥朗/宫崎宽务/藤本隆弘/荒井聪太/藤井雪代/照井春佳/西岛隆弘/大场真人,动画,日本,日语,2012-08-24(日本),106分钟,海贼王特别篇SP21
红河,霍华德·霍克斯/阿瑟·罗森,博登·蔡斯/查理斯·施内,蒙哥马利·克利夫特/约翰·韦恩/沃尔特·布伦南,动作/西部/冒险,美国,英语,1948-08-26,133分钟/126分钟(公映版),红河劫/大战红河边
我的美国舅舅,阿伦·雷乃,亨利·拉博里/让·格吕约尔,热拉尔·德帕迪约/妮可·加西亚/罗歇·皮埃尔,剧情/喜剧/爱情,法国,法语,1980-05-21,125分钟,我的美国叔叔/MyAmericanUncle
萨拉戈萨手稿,沃伊切赫·哈斯,塔德乌什·克维亚特科夫斯基/扬·波托茨基,兹比格涅夫·齐布尔斯基/伊加·琴布日斯卡/埃尔兹别塔·奇日弗斯卡/格斯塔·霍洛贝克/斯坦尼斯瓦夫·伊加尔/乔安娜·延德里卡/博古米尔·科别拉,剧情/奇幻,波兰,波兰语,1965-02-09,182分钟/France:175分钟(director'scut),TheSaragossaManuscript
爱德华·蒙克,彼得·沃特金,彼得·沃特金,GeirWestby/GroFraas/KerstiiAllum,剧情/传记,瑞典/挪威,法语/英语/挪威语/德语/瑞典语/丹麦语,1974-11-12,210分钟,
编织的女孩,克洛德·果雷塔,克洛德·果雷塔/PascalLainé,伊莎贝尔·于佩尔/YvesBeneyton/弗洛伦斯·焦尔杰蒂/安娜玛丽·杜林格/萨宾·阿泽玛,剧情/爱情,法国/瑞士/原西德,法语,1977-05-25(法国),107分钟,花边女工/TheLacemaker
葬礼,伊丹十三,伊丹十三,山崎努/宫本信子/菅井琴/大泷秀治/尾藤功男,喜剧,日本,日语,1984-11-17,124分钟,"江湖白事/丧礼/Death,JapaneseStyle/Osôshiki/TheFuneral"
巨人传,乔治·史蒂文斯,弗雷德·吉奥尔/伊凡·莫弗特,罗克·赫德森/伊丽莎白·泰勒/詹姆斯·迪恩,剧情/爱情/西部,美国,英语/西班牙语,1956-11-24,201分钟,巨人
第68届NHK红白歌会,,,二宫和也/有村架纯/内村光良,音乐/歌舞,日本,日语,2017-12-31(日本),270分钟,夢を歌おう
叛逆边缘,约翰·卡尼,丹尼尔·詹姆斯/约翰·卡尼,基里安·墨菲/翠西亚·维西/斯蒂芬·瑞/乔纳森·杰克逊,剧情,爱尔兰,英语,2001-09-13,Argentina:85分钟,不羁的心灵
啪嗒啪嗒,LEEDAEHEE,LEEDAEHEE,,动画,韩国,韩语,2012-07-25(韩国),78分钟,PadakPadak/Padak
Free! 男子游泳部 特别版,河浪荣作,横谷昌宏,岛崎信长/铃木达央/代永翼/平川大辅/宫野真守/细谷佳正/宫田幸季/铃村健一/丰永利行/内山昂辉/野岛健儿/日野聪/铃木千寻/渡边明乃/雪野五月/家中宏/津田健次郎,剧情/动画/运动,日本,日语,2017-10-28(日本),100分钟,特别版FREE!男子游泳部–TakeYourMarks–(台)/特別版Free!TakeYourMarks
逃离索比堡,杰克·高德,理查德·拉什克/雷金纳德·罗斯,艾伦·阿金/乔安娜·帕库拉/鲁特格尔·哈尔/HartmutBecker/杰克·谢菲尔德,剧情/惊悚/战争,英国/南斯拉夫,英语,1987-04-12(美国),143分钟,死亡集中營/BekstvoizSobibora
贤治之春,河森正治,河森正治,佐野史郎/国府田真里子/磯部弘/大塚周夫/平井直子/藤村恵一,剧情/动画/传记,日本,日语,1996-12-14(日本),57分钟,春与修罗/IhatovGensou:KenjinoHaru/Kenji'sSpring/SpringandChaos
流浪艺人,西奥·安哲罗普洛斯,西奥·安哲罗普洛斯,伊娃·科塔曼尼多/AlikiGeorgouli/StratosPahis/VangelisKazan/MariaVassiliou,剧情/历史/战争,希腊,希腊语,1975-07,230分钟,演员游记/巡回剧团/TheTravellingPlayers/Othiasos
皮罗斯马尼,格奥尔基·申格拉亚,ErlomAkhvlediani/格奥尔基·申格拉亚,AvtandilVarazi/DodoAbashidze/ZurabKapianidze/BorisTsipuria/AmirKakabadze,剧情/传记,苏联,俄语/格鲁吉亚语/法语,1972-05-15(苏联),USA:85分钟/Germany:105分钟,Pirosmani
解放,尤里·奥泽洛夫,尤里·邦达列夫/奥斯卡·库尔干诺夫/尤里·奥泽洛夫,米哈伊尔·诺日金/尼古拉·奥利亚宁/米哈伊尔·乌里扬诺夫/拉里莎·戈卢布金娜/BukhutiZakariadze/瓦西里·舒克申/尼古拉·雷布尼科夫/弗拉季斯拉夫·斯特尔热利奇克/YevgeniBurenkov/阿纳托利·罗马申/彼得·谢尔巴科夫/伊万·彼列维捷夫/弗拉德连·达维多夫/谢尔盖·哈钦科/德米特里·弗兰科/TõnuAav/FredAlexander/IngridAndrina/维克多·阿夫久什科/IrenAzer/ViktorBajkov/MarthaBeschort-Diez/NikolaiBogolyubov/ViktorBortsov/芭芭拉·布雷尔斯卡/格奥尔基·布尔科夫/OttoDierichs/FritzDiez/维尔纳·迪塞尔/尤里·杜布罗温/扬·恩格莱特/尼古拉·叶廖缅科/OlevEskola/FritzErnstFechner/伊沃·加拉尼/ErichGerberding/HorstGiese/阿列克谢·格拉济林/彼得·格列博夫/韦恩泽斯洛·格林斯基/米哈伊尔·格鲁兹斯基/汉约·哈塞/GerdMichaelHenneberg/YuriKamornyj/ArtyomKarapetyan/弗拉基米尔·卡什普尔/RomanKhomyatov/尤里·基列耶夫/SeppKlose/米哈伊尔·科克舍诺夫/弗拉基米尔·科列涅夫/Hans-HartmutKrüger/列昂尼德·库拉夫廖夫/亚历山大·库兹涅佐夫/阿纳托利·库兹涅佐夫/HerbertKörbs/HansUlrichLaufer/彼得·柳别什金/IgnacyMachowski/FredMahr/HeinoMandri/PeterMarx/GrigoryMikhaylov/IvanMikolajchuk/尤里·纳扎罗夫/谢尔盖·尼科年科/ValeriNosik/达尼尔·奥勒布里斯基/维尔弗里德·奥特曼/弗洛林·彼耶尔西克/列夫·波利亚科夫,剧情/爱情/战争,苏联/东德/波兰,俄语/德语/意大利语/波兰语/英语/法语,1970-05-07,487分钟/EastGermany:439分钟(5部分)/USA:118分钟,Osvobozhdenie/Befreiung/Felszabadítás/Libération/Liberation/Suuriläpimurto/TaisteluBerliinistä/TheGreatBattle/Wyzwolenie
决战之后,李前宽/肖桂云,郑重,古月/李法曾/黄凯,剧情/战争,中国大陆,汉语普通话,,161分钟,AftertheFinalBattle
罗宾汉,沃夫冈·雷瑟曼,KenAnderson/拉里·克莱蒙斯,BrianBedford/彼得·乌斯蒂诺夫/菲尔·哈里斯/卡罗尔·谢利/安迪·德怀恩,爱情/动画/家庭/冒险,美国,英语,1973-11-08(美国),83分钟,侠盗罗宾汉
飞翔吧！埼玉,武内英树,德永友一/魔夜峰央,二阶堂富美/神威乐斗/伊势谷友介/京本政树/汤姆大哥/麻生久美子/岛崎遥香/成田凌/间宫祥太朗/益若翼/武田久美子/磨赤儿/竹中直人/中尾彬,喜剧,日本,日语,2019-01-11(上海日本新片展)/2019-02-22(日本),107分钟,飞翔琦玉
亨利六世：第二部分,多米尼克·库克,本·鲍尔,本尼迪克特·康伯巴奇/安德鲁·斯科特/凯莉·霍威/本·丹尼尔斯/汤姆·斯图里奇/苏菲·奥康内多/詹姆斯·弗雷特/本·迈尔斯/菲比·福克斯/安东·莱瑟/杰森·沃特金斯/阿德里安·敦巴/斯坦利·汤森德,剧情/历史,英国,英语,2016-05-14(英国),123分钟,空王冠：玫瑰战争2/TheHollowCrown:TheWarsOfTheRoses2
长夜漫漫路迢迢,西德尼·吕美特,尤金·奥尼尔,凯瑟琳·赫本/拉尔夫·理查德森/杰森·罗巴兹/迪恩·斯托克维尔,剧情,美国,英语,1962-10-09(美国),174分钟,进入黑夜的漫长旅程/长日入夜行/昼夜旅行
