电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名
弗兰西斯,格雷姆·克利福德,埃里克·伯格恩/克里斯托弗·德沃雷/尼古拉斯·卡赞,杰西卡·兰格/金·斯坦利/山姆·夏普德/巴特·伯恩斯/乔纳森·班克斯/邦妮·芭利特/詹姆斯·布罗德黑德/简·詹金斯/乔丹·查尼/罗德·科尔宾/丹尼尔·乔多斯/唐纳德·克雷格/莎拉·坎宁安/李·德布鲁/杰弗里·德曼,剧情/传记,美国,英语,1982-12-03,140分钟,法兰西丝/弗朗西丝/红伶劫
赛文奥特曼 我是地球人,神澤信一/満留浩昌,武上纯希,南条弘二/山崎勝之/正岡邦夫/古賀亘/鵜川薫/あだち理絵子,剧情/动作/科幻,日本,日语,1999-12-31,73分钟,UltraSeven-IAmanEarthling/超人七号我是地球人/超人七星侠我是地球人/超人力霸王赛文我是地球人
第四十一,格利高利·丘赫莱依,格里戈里·科尔图诺夫/鲍里斯·拉甫列涅夫,伊佐尔达·伊兹维茨卡娅/奥列格·斯特里仁诺夫/尼古拉·克留奇科夫/NikolaiDupak,剧情/爱情/战争,苏联,俄语,1956-10-15,88分钟,TheForty-first/Sorokpervyy
搬家,相米慎二,奥寺佐渡子/小此木聪,中井贵一/樱田淳子/田畑智子,剧情,日本,日语,1993-03-20,124分钟,Moving
谋杀启事,约翰·史翠兰,斯图尔特·哈考特/阿加莎·克里斯蒂,杰拉尔丁·麦克伊万/佐伊·沃纳梅克/伊莲·佩姬/凯莉·霍威/克里斯蒂安·库尔森/切瑞·朗吉/西耶娜·盖尔利/弗兰西斯·巴贝,剧情/悬疑/犯罪,英国,英语,2005-01-02(英国),94分钟,
善意的谎言,彼德·卡索维茨,迪戴尔·德科恩/彼德·卡索维茨,罗宾·威廉姆斯/汉娜·泰勒-高登/ÉvaIgó/IstvánBálint/尤斯图斯·冯·多赫纳尼/列维·施瑞博尔/艾伦·阿金,剧情/喜剧/战争,法国/美国/匈牙利,英语,1999-09-24,120分钟,心灵DJ/骗子贾科伯/说谎者雅各布/希望集中营
穿制服的女孩,列昂蒂内·萨冈,ChristaWinsloe/FriedrichDammann,赫塔·提勒/多萝西·维克/EmiliaUnda/GertruddeLalsky/HedwigSchlichter/ErikaMann/ElseEhser/EllenSchwanneke/CharlotteWitthauer,剧情/爱情/同性,德国,德语,1931-11-27,88分钟/USA:87分钟,GirlsinUniform
大人别出声,彼得·博格丹诺维奇,MartyKaplan/迈克·弗雷恩,卡罗尔·博内特/迈克尔·凯恩/丹霍姆·艾略特/克里斯托弗·里夫,喜剧/爱情,美国,英语,1992-03-20,101分钟,落难戏班(港)/勾心斗角/乌龙戏班/糊涂戏班
龙樱：东大考试机密技巧总传授SP,,,阿部宽/长谷川京子/山下智久/长泽雅美/小池彻平/新垣结衣,,日本,日语,2005-10-14(日本),68分钟,
草房子,徐耿,曹文轩,曹丹/杜源/吴琴琴/金荣喜/许雁青/徐成峰/马翎雁,剧情,中国大陆,汉语普通话,1998/2000-08-17(香港),105分钟,Caofangzi/ThatchedMemories
梦想者四夜,罗伯特·布列松,罗伯特·布列松,IsabelleWeingarten/GuillaumedesForêts/Jean-MauriceMonnoyer,剧情/爱情,法国,法语,1971-06-29(西德),87分钟,一个梦想者的四个夜晚/一个男人的四个夜晚/白夜/FourNightsofaDreamer
灌篮高手 剧场版2,,井上雄彦,草尾毅/緑川光,剧情/动画/运动,日本,日语,1994-07-09(日本),45分钟,SLAMDUNK全国制覇だ!桜木花道
鬼火,路易·马勒,皮埃尔·德里厄·拉罗谢勒,莫里斯·罗内/莱娜·斯克尔拉/伊冯娜·克莱什/于贝尔·德尚/让-保罗·穆利诺/莫娜·多尔/皮埃尔·蒙科尔比耶/勒内·迪皮伊/贝尔纳·蒂费纳/贝尔纳·诺埃尔/乌尔苏拉·库布勒/让娜·莫罗/阿兰·莫泰/罗曼·布泰耶/雅克·塞雷/亚历山德拉·斯图尔特/亨利·赛尔/达琳·莱卓提姆斯,剧情,法国,法语,1963-10-15,108分钟,无法到达/TheFireWithin/ATimetoLiveandaTimetoDie
乞爱者,平山秀幸,郑义信/下田治美,原田美枝子/野波麻帆/小日向文世/熊谷真实/国村隼/西田尚美/氏木毅/茂吕师冈/中井贵一/浅川稚广/新村礼子/大泽茜,剧情,日本,日语,1998-09-26,135分钟,BeggingforLove/爱的祈祷/求爱的人
不可思议的收缩人,杰克·阿诺德,理查德·艾伦·西蒙斯/理查德·麦瑟森,格兰特·威廉姆斯/RandyStuart/AprilKent/保罗·兰顿/雷蒙德贝利/WilliamSchallert/FrankJ.Scannell/HeleneMarshall/DianaDarrin/BillyCurtis/LockMartin/JohnHiestand/LucePotter/JoeLaBarba/奥逊·威尔斯/RegisParton,科幻/惊悚,美国,英语,1957-02-22,81分钟,奇特缩形者
独生子,小津安二郎,小津安二郎/池田忠雄/荒田正男,饭田蝶子/叶山正雄/日守新一/笠智众/坪内美子/吉川满子/横山準/青木富夫,剧情,日本,日语,1936-09-15(日本),87分钟,Hitorimusuko/TheOnlySon
饭,成濑巳喜男,井手俊郎/田中澄江/川端康成/林芙美子,原节子/上原谦/小林桂树/岛崎雪子/杉叶子/杉村春子,剧情,日本,日语,1951-11-23,97分钟,Meshi/Repast
烟,王颖/保罗·奥斯特,保罗·奥斯特,哈威·凯特尔/威廉·赫特/杰瑞德·哈里斯,剧情/喜剧,德国/美国/日本,英语,1995-06-09,112分钟,生命中不能承受的烟
看狗在说话,杜维因·邓纳姆,卡罗琳·汤普森/琳达·伍尔芙顿/SheilaBurnford,迈克尔·J·福克斯/莎莉·菲尔德/唐·阿米契/金·格雷斯特/EdBernard,剧情/喜剧/家庭/冒险,美国,英语,1993-02-03(美国),84分钟,猫狗也疯狂
星际宝贝：终极任务,托尼·克莱格/罗伯茨·甘纳韦,罗伯茨·甘纳韦/杰斯·温菲尔德,黛维·切斯/克里斯·桑德斯/戴维·奥格登·施蒂尔斯/凯文·麦克唐纳德/蒂亚·卡雷尔/凯文·迈克尔·理查德森/罗伯·鲍森/杰夫·贝内特/佐伊·考德威尔/博卡·格德斯维特/吉莲·亨利/莉莉·石田/特蕾丝·麦克尼尔/罗基·麦克默里/莉莉娜·穆米/文·瑞姆斯/黛布拉·罗杰斯/道格·斯通/塔拉·斯特朗/卡莉·怀特赫斯特,喜剧/科幻/动画/家庭/冒险,美国,英语,2006-06-23(美国),73分钟,
雪地黄金犬,兰德尔·克莱泽,杰克·伦敦/JeanneRosenberg,KlausMariaBrandauer/EthanHawke/SeymourCassel/SusanHogan/JamesRemar/BillMoseley,剧情/冒险,美国,英语,1991-01-18,107分钟,白牙/白芳
三心两性,桥口亮辅,桥口亮辅,高桥和也/片冈礼子/田边诚一/秋野畅子/富士真奈美/光石研/服部佳/加濑亮,剧情/喜剧/同性,日本,日语,2001-05(戛纳电影节)/2002-04-27(日本),135分钟/136分钟(阿根廷),肃静/男色诱惑/Hush!
小逃亡者,莫里斯·恩格尔/雷·阿什利/鲁思·奥金,莫里斯·恩格尔/雷·阿什利/鲁思·奥金,RichardBrewster/WinifredCushing/JayWilliams/WillLee/CharlieMoss/TommyDeCanio/RichieAndrusco/鲁思·奥金,剧情/儿童,美国,英语,1953-10-06(美国),80分钟,出走的孩子/TheConeyIslandKid
潘多拉的魔盒,G·W·帕布斯特,LadislausVajda/JosephFleisler,露易丝·布鲁克斯/弗里茨·科特讷/弗朗西斯·莱德雷尔,剧情/爱情/犯罪,德国,德语,1929-01-30,Germany:133分钟(restoredversion)/USA:109分钟/Belgium:152分钟(CopywithFrenchtitlesatBrusselsMuséeduCinéma)/131分钟(originalversion)(21.4fps)/110分钟(VHSversion),露露/弃妇日记/潘多拉的盒子/TheBoxofPandora/Pandora'sBox/Lulu
迪迦奥特曼&戴拿奥特曼 光之星的战士们,KazuyaKonaka,长谷川圭一,TakeshiTsuruno/RyoKinomoto/ToshikazuFukawa/JouOnodera/MariyaYamada/MioTakaki,动作/科幻,日本,日语,1998-03-14(日本),68分钟,奥特曼剧场版星光战士/UrutoramanTiga&UrutoramanDaina:Hikarinohoshinosenshitachi/UltramanTiga&UltramanDyna:WarriorsoftheStarofLight
豺狼时刻,英格玛·伯格曼,英格玛·伯格曼,马克斯·冯·叙多夫/丽芙·乌曼/耶特鲁德·弗里德/乔治·莱德伯格/厄兰·约瑟夫森/英格丽·图林,剧情/恐怖,瑞典,瑞典语/挪威语,1968-02-19(瑞典),90分钟,HouroftheWolf/DieStundedesWolfs
爵士风情,斯派克·李,斯派克·李,丹泽尔·华盛顿/斯派克·李/韦斯利·斯奈普斯/约翰·特托罗/塞缪尔·杰克逊,剧情/音乐,美国,英语,1990-08-03,129分钟/USA:130分钟,爱情至上/爵士男女
三宅一生：为设计而生,,,,,日本,英语,2015(日本),59分钟,IsseyMiyakeDesignforFeel
审问,赖斯扎德·布加斯基,赖斯扎德·布加斯基/JanuszDymek,克里斯提娜·杨达/亚当·费仁希/扬努斯·加约斯/阿格涅丝卡·霍兰/安娜·罗曼拖拉斯卡/波泽纳·里基尔/奥尔基尔德·鲁卡斯瑟维克茨/TomaszDedek/JanJurewicz/JaroslawKopaczewski/ZofiaBalucka/ArkadiuszBazak/KrzysztofGosztyla/AntoninaGirycz/O.Jasinska,剧情/惊悚/犯罪,波兰,波兰语,1989-12-13(波兰),118分钟,Przesluchanie/Interrogation
灌篮高手 剧场版3,角銅博之,井上雄彦,草尾毅/緑川光,剧情/动画/运动,日本,日语,1995-03-04(日本),40分钟,SLAMDUNK湘北最大の危機!燃えろ桜木花道
夏天的大人们,中岛哲也,中岛哲也,日高圭智/菜木のり子/石川真希/岸部一德,剧情,日本,日语,1997-03-15(日本),73分钟,Natsujikannootonatachi/Happy-Go-Lucky
众神与野兽,比尔·康顿,比尔·康顿,伊恩·麦克莱恩/布兰登·费舍/琳恩·雷德格瑞夫/洛丽塔·大卫多维奇/大卫·杜克斯/凯文·J·奥康纳/马克·基利/杰克·普罗特尼克/罗莎琳·艾尔斯/杰克·贝茨/泰德·巴勃考克/CorneliaHayesO'Herlihy/BrandonKleyla/帕梅拉·萨勒姆/大卫米伯尔尼/马丁·费雷罗/杰西·詹姆斯/丽萨·达尔/贾德森·米尔斯/约翰·盖汀斯/柯蒂斯·哈灵顿/JamesLecesne,剧情/同性/传记,美国/英国,英语/匈牙利语,1998-11-04,105分钟,众神与恶魔/魂断梦工场/神与魔
下水道,安杰伊·瓦伊达,耶尔齐·斯蒂芬·斯塔温斯基,特雷莎·伊泽夫斯卡/塔杜施·扬查尔/韦恩泽斯洛·格林斯基/塔德乌什·格威亚兹多夫斯基,剧情/历史/战争,波兰,波兰语/德语,1957-04-20(波兰),91分钟,搞战地狱篇/地下水道/Canal
剧场版 假面骑士555 消失的天堂,田﨑竜太,井上敏樹,半田健人/泉政行/速水直道/何润东/芳贺优里亚/沟吕木贤/村上幸平/加藤美佳/唐桥充/村井克行/栗原瞳/黑川芽以,,日本,日语,2003-08-16,,KamenRider555TheMovie:ParadiseLost/MaskedRiderFaizTheMovie:ParadiseLost/剧场版假面骑士Faiz失落的天堂/剧场版幪面超人555救世传说之帝王腰带/剧场版蒙面超人555救世传说之帝王腰带/劇場版仮面ライダーファイズパラダイス・ロスト
人民公仆2,AlexeyKiruyshenko,,斯坦尼斯拉夫·波克琅/AnastasiaChepeliuk/Ol'gaKiyashko/EvgeniyKoshevoy/VladimirZelenskiy/Ol'gaZhukovcova-Kiyashko,喜剧,乌克兰,俄语/乌克兰语,2016-12-29(乌克兰),96分钟,Sluganaroda2/ServantofthePeople2/人民公仆大电影
杰克,爱德华·贝尔格,爱德华·贝尔格/NeleMueller-Stöfen,IvoPietzcker/GeorgArms/LuiseHeyer,剧情,德国,德语,2014-02-07(德国),103分钟,
大捷,吴天戈,吴贻弓,雷恪生/袁苑/赵胜胜/周国宾/宫晓瑄/赵君/解衍/谭增卫/毕远晋/俞建国/朱雷/吴斌烨/李斗/叶小铿/翁国钧/何麟/祁明远/杨德根,战争,中国大陆,汉语普通话,1995,104分钟,
航海家,巴斯特·基顿/唐纳德·克里斯普,克莱德·布鲁克曼/让·C·阿韦/JosephA.Mitchell,巴斯特·基顿/KathrynMcGuire/弗雷德里克·弗鲁姆,喜剧,美国,无对白,1924-10-13,59分钟/Sweden:75分钟,航行者
土地与自由,肯·洛奇,吉姆·艾伦,伊恩·哈特/罗塞娜·派斯特/伊西亚尔·博利亚因,剧情/历史/战争,德国/意大利/西班牙/英国,西班牙语/加泰罗尼亚语/英语,1995-04-07,109分钟/Turkey:102分钟(TVversion),以祖国之名(台)
伯特伦旅馆之谜,丹·泽夫,阿加莎·克里斯蒂/汤姆·麦克雷,杰拉尔丁·麦克伊万/玛汀·麦古基安/弗兰西丝卡·安妮丝/波利·沃克/史蒂芬·曼甘/艾米丽·比查姆,悬疑/犯罪,英国,英语,2007-04-01,93分钟,
云,费尔南多·索拉纳斯,MartínPavlovsky/费尔南多·索拉纳斯,MartínPavlovsky/ÂngelaCorrea/FranciscoNápoli/LauraNovoa,剧情,阿根廷/法国,西班牙语,1998-09-03,113分钟,TheCloud
雨停了,小泉尧史,黑泽明/山本周五郎,寺尾聪/宫崎美子/三船史郎,剧情,日本/法国,日语,2000-01-22,91分钟,黑之雨(台)/雨过天晴/大雨天
遗失的世界,理查德·富兰克林,阿瑟·柯南·道尔/JimHenshaw,彼得·麦考利/威廉·德芙里/威尔·斯诺,动作/科幻/冒险,美国,英语,1999-04-03,92分钟,失落的世界/猛龙复活/迷失魔界/失落的世界：高原人猿/TheLostWorld:LandoftheApes
安东尼娅家族,玛琳·格里斯,玛琳·格里斯,维力奇·范·阿麦莱/埃尔斯·多特曼斯/多拉·范·德·格伦/珂洛丽·斯普尔/简·德克莱尔/埃尔希·德·布劳/ReinoutBussemaker/玛丽娜·德·格拉夫/JanSteen/CatherinetenBruggencate/PaulKooij,剧情/喜剧,荷兰/比利时/英国,荷兰语,1995-09-12(多伦多电影节)/1995-09-20(荷兰),102分钟,安东妮雅之家/不靠男人的日子
爱无国界,YashChopra,阿迪提亚·乔普拉,沙鲁克·汗/普丽缇·泽塔/拉妮·玛克赫吉,剧情/爱情/歌舞,印度,乌尔都语/北印度语/Punjabi,2004-11-12,192分钟,ALoveLegend
爱的挽歌,让-吕克·戈达尔,让-吕克·戈达尔,布鲁诺·帕特祖鲁/CecileCamp/让·达维/弗朗索瓦丝·韦尔尼/AudreyKlebaner,剧情,法国/瑞士,法语,2001-05-16,97分钟,爱情研究院/爱的礼赞/爱之颂/InPraiseofLove
萨拉邦德,英格玛·伯格曼,英格玛·伯格曼,丽芙·乌曼/厄兰·约瑟夫森/伯杰·阿斯特/尤利娅·杜韦纽斯/贡内尔·弗雷德,剧情,瑞典/意大利/德国/芬兰/丹麦/奥地利,瑞典语/英语/德语,2003-12-01(瑞典),107分钟,
甜蜜的永远,扬·霍布雷克,培特尔·亚尔乔夫斯基,迈克尔·贝兰/米洛斯拉夫·多努蒂尔/西蒙娜·史达索娃,剧情/喜剧/家庭,捷克,捷克语/俄语,1999-04-08,115分钟,甜蜜的永远(台)/春风吹到布拉格(港)/CosyDens
沃特希普高地,马丁·罗森,理查德·亚当斯/马丁·罗森,约翰·赫特/理查德·布赖尔斯/迈克尔·格拉汉姆·考克斯/JohnBennett/拉尔夫·理查德森/SimonCadell/特伦斯·里格比/RoyKinnear/理查德·奥卡拉汉/丹霍姆·艾略特/琳恩·法利/MaryMaddox/泽罗·莫斯苔/HarryAndrews/HannahGordon,剧情/动画/冒险,英国,英语,1978-10-14(美国),101分钟/Brazil:92分钟,兔子共和国/海底沉舟/沃特希普荒原/RichardAdams'sWatershipDown
歼匪喋血战,拉乌尔·沃尔什,伊万·戈夫/本·罗伯茨,詹姆斯·卡格尼/弗吉尼亚·梅奥/艾德蒙·奥布莱恩/玛格丽特·威彻利/史蒂夫·柯臣,剧情/惊悚/犯罪/黑色电影,美国,英语,1949-09-02,114分钟,白热
猫和老鼠：火星之旅,BillKopp,BillKopp,杰夫·贝内特/科里·伯顿/凯瑟琳·费奥雷,喜剧/动画,美国,英语,2005-05-10,71分钟,猫和老鼠：出发去火星/猫和老鼠：奔向火星
其实在天堂,凯·波拉克,安德斯·尼伯格/奥拉·奥尔森/卡林·波拉克/凯·波拉克/玛格丽塔·波拉克,迈克尔·恩奎斯特/弗里达·霍尔格伦/海伦·修荷姆/伦纳特·杰凯尔/英格拉·奥尔森/尼克拉斯·福尔克/皮尔·姆贝格/伊娃·卢夫/安德烈·舍贝里/米卡尔·拉姆/芭布萝·寇勒贝/阿克塞拉·阿克塞尔/拉塞·彼得森/乌拉-布里特·诺曼-奥尔森/米尔卡·克里森/克里斯蒂娜·托维斯,剧情/爱情/音乐,瑞典,瑞典语/英语/意大利语,2004-09-03(瑞典),132分钟,就像在天堂(台)/像在天堂一样/生命的饮歌/宛如天堂/AsItIsinHeaven/AsinHeaven
火宅之人,深作欣二,檀一雄/神波史男/深作欣二,绪形拳/石田良子/原田美枝子/松坂庆子/荒井注/檀富美/井川比佐志/石桥莲司/真田广之/下条阿童木/相马刚三/山谷初男,剧情,日本,日语,1986-04-12(日本),133分钟,HouseonFire
空之境界 俯瞰风景3D,青木荣,平松正树,坂本真绫/铃村健一/本田贵子/藤村步/田中理惠,剧情/动画/悬疑/惊悚,日本,日语,2013-07-13(日本),,
三国志：英雄的黎明,勝間田具治,,渡哲也/あおい輝彦/青野武/石田太郎/津嘉山正种/潘惠子/中西妙子,动画,日本,日语,1992-01-25,138分,三国志:英雄的黎明
群众,金·维多,金·维多/约翰V·A·韦弗,埃莉诺·博德曼/詹姆斯·默里/伯特·罗奇,剧情/爱情,美国,英语,1928-02-18,98分钟(23.2fps),
亚当的苹果,安诺斯·托马斯·延森,安诺斯·托马斯·延森,乌尔里奇·汤姆森/麦斯·米科尔森/尼可拉斯·布若/帕普丽卡·斯汀/尼古拉·雷·卡斯/托马斯·维尔姆·詹森/AliKazim/OleThestrup/GyrdLøfquist/拉斯·兰特/PeterReichhardt,剧情/喜剧/犯罪,丹麦/德国,丹麦语,2005-04-15(丹麦)/2006-08-31(德国),94分钟,Adam'sApples/AdamsÄpfel
排球少年剧场版：结束与开始,满仲劝,岸本卓TakuKishimoto/古舘春一(原作),村濑步/石川界人/林勇/细谷佳正/内山昂辉/入野自由/齐藤壮马/冈本信彦/日野聪,动画/运动,日本,日语,2015-07-03(日本),,
吟游诗人,谢尔盖·帕拉杰诺夫/多多·阿巴希泽,GiaBadridze/莱蒙托夫,YuriMgoyan/SofikoChiaureli/RamazChkhikvadze,剧情/爱情,苏联,阿塞拜疆语/格鲁吉亚语,1988-10-01,73,历劫鸳鸯(港)/TheHoaryLegendsoftheCaucasus/AshugiQaribi/AshugKaribi/აშიკ-ქერიბი
天仙配,石挥,陆洪非/桑弧,严凤英/王少舫/张云峰,剧情/爱情/奇幻/古装,中国大陆,汉语普通话,1956-02(中国大陆),91分钟,
欢愉,马克斯·奥菲尔斯,雅克·纳坦松/马克斯·奥菲尔斯,克洛德·多芬/加比·莫尔莱/马德莱娜·雷诺/吉内特·勒克莱尔/达尼埃尔·达里约,剧情/喜剧,法国,法语,1952-02-29,97分钟,快乐/Pleasure/HouseofPleasure
希德尼娅的骑士 剧场版,静野孔文,弐瓶勉/村井贞之,逢坂良太/洲崎绫/丰崎爱生/子安武人/樱井孝宏/田中敦子/森なな子/金元寿子HisakoKanemoto,科幻/动画,日本,日语,2015-03-06(日本),134分钟,
里欧洛,让-克洛德·洛宗,让-克洛德·洛宗,GilbertSicotte/MaximeCollin/吉内特·雷诺,剧情/喜剧,加拿大/法国,法语,1992-09-16,107分钟,莱奥洛/Leolo
坐在人生边上——杨绛,,,杨绛/钱钟书,传记,中国大陆,汉语普通话,2011-12-17(中国大陆),46分钟,我的中国心：坐在人生的边上——杨绛
被遗忘的人们,路易斯·布努埃尔,路易斯·布努埃尔/路易斯·阿尔科里萨,EstelaInda/AlfonsoMejía/RobertoCobo/AlmaDeliaFuentes,剧情/犯罪,墨西哥,西班牙语,1950-11-09,85分钟/77分钟(DVD版),被遗忘的人/TheYoungandtheDamned
拽妹黛薇儿之暑假要结束了没,KarenDisher/GuyMoore,,RachelAnton/BrettBarsky/CoreyBlock,,USA,english,2000-08-27,,IsItFallYet?(TV)/Daria:IsItFallYet?
双城记,杰克·康威/罗伯特·Z·伦纳德,查尔斯·狄更斯/塞缪尔·N·贝尔曼/W.P.利普斯康(W.P.Lipscomb),罗纳德考尔曼(RonaldColman)/伊丽莎白埃兰(ElizabethAllan),剧情/爱情/历史,美国,英语,1935-12-25,128分钟/USA:121分钟(videoversion),
福尔摩斯：跳舞的人,JohnBruce,ArthurConanDoyle/JohnHawkesworth,JeremyBrett/DavidBurke/TennielEvans,剧情/悬疑,英国,英语,1984-05-01,50分钟,跳舞的人
勒克瑙之花,J.P.Dutta,,艾西瓦娅·雷/莎巴娜·阿兹米/阿布舍克·巴强,剧情/爱情,印度,乌尔都语/北印度语,2006-11-03,187分钟,
夜叉,降旗康男,中村努,高仓健/田中裕子/北野武/田中邦卫/小林稔侍/乙羽信子/奈良冈朋子/石田良子,剧情/爱情/犯罪,日本,日语,1985-08-31(日本),127分钟,Yasha
随我婆娑,马克·桑德里奇,艾伦·斯科特/欧内斯特·帕加诺/哈罗德·布克曼,弗雷德·阿斯泰尔/金杰·罗杰斯/爱德华·艾沃瑞特·霍顿,喜剧/爱情/歌舞,美国,英语/法语,1937-05-07,109分钟/Argentina:116分钟,我们跳舞？
绞死刑,大岛渚,田村孟/佐佐木守/深尾道典/大岛渚,渡边文雄/佐藤庆/石堂淑朗/大岛渚/桜井啓子/櫻坂由貴/鈴木久留美/足立正生,喜剧/犯罪,日本,日语,1968-02-03(日本),117分钟,DeathbyHanging
叛国作家,拉达·巴拉华,拉达·巴拉华,艾伦·瑞克曼/玛德琳·斯托,剧情/惊悚,美国,英语,1991-03-06(美国),94分钟(加拿大)/89分钟(美国),衣橱之国
因果论,水岛精二,会川升,胜地凉/丰崎爱生/山本希望/本田贵子/入野自由/川岛得爱/户松遥/诹访部顺一/内山昂辉/岛村侑,动画,日本,日语,2011-11-19(日本),49分钟,UN-GO剧场版
