电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
鬼故事,杰瑞米·德桑/安迪·尼曼,杰瑞米·德桑/安迪·尼曼,安迪·尼曼/马丁·弗瑞曼/保罗·怀特豪斯/埃里克斯·劳瑟/保罗·沃伦/寇布勒·霍尔德布鲁克-史密斯/尼古拉斯·本恩斯/丹尼尔·希尔/山缪尔·博顿利/杰克·戴维斯/达伦·布朗,剧情/恐怖,英国,英语,2017-10-05(伦敦电影节)/2018-04-06(英国),98分钟,鬼谈怪说,tt5516328
忌日快乐,克里斯托弗·兰登,斯科特·洛布德尔,杰西卡·罗德/伊瑟尔·布罗萨德/露比·莫迪恩/查尔斯·艾特肯/劳拉·克利夫顿/杰森·拜尔/罗布·梅洛/瑞秋·马休斯/拉姆齐·安德森/布雷迪·刘易斯/飞·武/泰内娅·因崔亚戈/布莱恩·克恩/卡瑞尔拉·史密斯/吉米·冈萨雷斯/比利·斯洛特/唐娜·杜普兰提尔/吉吉·埃内塔/林赛·G·史密斯/戴恩·罗兹/凯莱布·斯比尔亚兹/蜜西·雅格,悬疑/惊悚/恐怖,美国,英语,2018-02-02(中国大陆)/2017-10-13(美国),96分钟,死日快乐/吓到半死/死亡无限LOOP(港)/Again/HalftoDeath/HappyBirthdead,tt5308322
异形：契约,雷德利·斯科特,迈克尔·格林/约翰·洛根/杰克·帕格恩,迈克尔·法斯宾德/凯瑟琳·沃特斯顿/比利·克鲁德普/丹尼·麦克布莱德/德米安·比齐尔/卡门·艾乔戈/朱西·斯莫利特/考莉·埃尔南德斯/艾米·西米茨/纳撒尼尔·迪安/亚历山大·英格兰/本杰明·里格比/乌利·拉图基孚/泰丝·哈乌布里奇/罗蕾莱·金/哈维尔·博泰特/詹姆斯·弗兰科/盖·皮尔斯/劳米·拉佩斯,科幻/恐怖,美国,英语,2017-06-16(中国大陆)/2017-05-10(法国)/2017-05-19(美国),122分钟/116分钟(中国大陆),异形：圣约(港/台)/神奇异形在哪里(豆友译名)/已开：大勺(豆友译名)/异形：失乐园/普罗米修斯2/Prometheus2/Alien:ParadiseLost,tt2316204
解除好友2：暗网,斯蒂芬·思科,斯蒂芬·思科,科林·伍德尔/斯蒂芬妮·诺格拉斯/瑞贝卡·瑞滕豪斯/安德鲁斯·李斯/贝蒂·加布里埃尔/康纳·戴尔·里奥/萨维拉·温蒂亚尼/切尔西·阿尔登/道格拉斯·泰特/阿什顿·斯迈利/阿历萨·芒索,恐怖/犯罪,美国,英语,2018-03-09(西南偏南电影节)/2018-07-20(美国),92分钟,杀讯2(台)/解除好友2/解除好友：游戏之夜,tt4761916
寄宿学校,鲍兹·亚金,鲍兹·亚金,卢克·普拉尔/斯特林·杰里斯/威尔·帕顿/科比·乔治/卡丁·乔治/尼古拉斯·J·奥利韦里/萨曼莎·玛西丝/罗伯特·约翰·伯克/纳迪娅·亚历山大/露西·沃特斯/坦米·布兰查德/大卫·阿隆·贝克,悬疑/恐怖,美国,英语,2018-08-31(美国),111分钟,诡学院(台),tt6224502
电锯惊魂8：竖锯,迈克尔·斯派瑞/彼得·斯派瑞,皮特·古德芬格/乔什·斯托博格,马特·帕斯摩尔/托宾·贝尔/考乐姆·吉斯·雷尼/汉娜·艾米莉·安德森/科勒·班尼特/劳拉·范德沃特/保罗·布朗斯坦/曼德拉·范·皮布尔斯/布列塔尼·艾伦/乔赛亚·布莱克/爱德华·拉特尔/迈克·布瓦韦尔,悬疑/惊悚/恐怖,美国/加拿大,英语,2017-10-27(美国),92分钟,电锯惊魂8/夺魂锯：游戏重启(台)/恐惧斗室之狂魔再现(港)/电锯惊魂：遗产/Saw:Legacy/SawVIII,tt3348730
小丑回魂,安德斯·穆斯切蒂,蔡斯·帕默/凯瑞·福永/加里·多伯曼/斯蒂芬·金,比尔·斯卡斯加德/杰登·马泰尔/杰里米·雷·泰勒/索菲娅·莉莉丝/菲恩·伍法德/乔森·雅各布/杰克·迪伦·格雷泽/瓦耶特·奥莱夫/杰克逊·罗伯特·斯科特/尼古拉斯·汉密尔顿/杰克·辛/洛根·汤普森/欧文·泰格/斯蒂夫·博加尔特/斯图尔特·休斯/杰弗里·庞塞特/皮普·德怀尔/莫莉·阿特金森/史蒂文·威廉姆斯/伊丽莎白·桑德斯/梅根·查彭提尔/安东尼·尤埃西/哈维尔·博泰特/伊莎贝尔·内利瑟/尼尔·克容,剧情/恐怖/儿童,美国/加拿大,英语,2017-08-29(伦敦恐怖电影节)/2017-09-08(美国),135分钟,它(台)/It:ChapterOne,tt1396484
遗传厄运,阿里·艾斯特,阿里·艾斯特,亚历克斯·沃尔夫/加布里埃尔·伯恩/托妮·科莱特/米莉·夏普洛/克里斯蒂·萨默海斯/摩根·伦德/马洛里·贝克特尔/杰克·布朗/布赖恩·拉谢尔/海蒂·门德兹/莫伊塞斯L·托瓦/贾罗德·菲利普斯/安·唐德/布罗克·麦金尼/扎克瑞·亚瑟/奥斯丁·R·格兰特,悬疑/惊悚/恐怖,美国,英语,2018-01-21(圣丹斯电影节)/2018-06-08(美国),127分钟,宿怨(台)/祖孽(港)/厄运遗传,tt7784604
修女,科林·哈迪,加里·多伯曼/温子仁,德米安·比齐尔/泰莎·法米加/乔纳斯·布洛凯/邦妮·阿伦斯/维拉·法米加/帕特里克·威尔森/英格丽·比苏/夏洛特·霍普/桑德拉·特蕾丝/奥古斯特·马图洛/迈克尔·史麦利/大卫·霍罗维奇/丽丽·博尔丹/斯嘉丽·希克斯/丽兹·科菲/迪·布拉雷·贝克尔/黛布拉·威尔逊/马克·斯达格/莉迪亚·科洛科/艾玛·阿普尔顿/约翰尼·科瓦内/丹尼尔·曼德尔/西蒙·瑞/桑德拉·罗斯科,悬疑/惊悚/恐怖,美国,英语/法语/罗马尼亚语/拉丁语,2018-09-07(美国),96分钟,招魂外传/鬼修女(台)/诡修女(港)/Valak,tt5814060
昆池岩,郑凡植,郑凡植,魏河俊/朴智炫/吴雅妍/文艺媛/朴成勋/刘帝允/李丞旭,恐怖,韩国,韩语,2018-03-28(韩国),94分钟,鬼病院：灵异直播(台)/疯人院逐个捉(港)/魂断疯人院/Gonjiam:HauntedAsylum,tt8119752
神童,尼古拉斯·麦卡锡,杰夫·布勒,泰勒·席林/布列塔尼·艾伦/杰克逊·罗伯特·斯科特/科鲁姆·费奥瑞/彼得·穆尼/奥妮克·阿德莉/艾丽莎·莫勒切里/宝拉·布德罗/保罗·福托/戴维·科赫史密斯/马克·史派克/迈克尔·戴森,惊悚/恐怖,香港/美国,英语,2019-02-08(美国),92分钟,鬼裔(台)/后裔/Descendant,tt4504044
寂静之地,约翰·卡拉辛斯基,布莱恩·伍兹/斯科特·贝克/约翰·卡拉辛斯基,艾米莉·布朗特/约翰·卡拉辛斯基/米利森特·西蒙兹/诺亚·尤佩/凯德·伍德沃德/里昂·拉瑟姆/桃乐丝·麦卡锡,惊悚/恐怖,美国,美国手语/英语,2018-05-18(中国大陆)/2018-03-09(西南偏南电影节)/2018-04-06(美国),90分钟/91分钟(中国大陆),无声绝境(港)/噤界(台)/静地,tt6644200
阴风阵阵,卢卡·瓜达尼诺,达里亚·尼科洛迪/大卫·凯根内奇/达里奥·阿基多,达科塔·约翰逊/蒂尔达·斯文顿/科洛·莫瑞兹/米娅·高斯/杰西卡·哈珀/西尔维·泰斯蒂/安吉拉·温科勒/玛高莎·贝拉/英格丽·卡文,惊悚/恐怖,意大利/美国,英语/德语/法语,2018-09-01(威尼斯电影节)/2018-11-02(美国),152分钟,美版阴风阵阵/窒息(台),tt1034415
霸主,朱利叶斯·艾弗里,比利·雷/马克·L·史密斯,约翰·艾德坡/怀亚特·罗素/马蒂尔德·奥利维耶/皮鲁·埃斯贝克/约翰·马加罗/伊恩·德·卡斯泰克/雅各布·安德森/多米尼克·阿普尔怀特/博基姆·伍德拜因/恩里奇·雷德曼/马克·麦克肯纳/海莉·卡迈克尔/米迦勒·埃普/RossTomlinson/本·特瓦索里/安迪·韦勒姆/帕特里克·布拉莫尔/肖恩·狄克逊/豪尔赫·莱昂·马丁内斯/伊娃·马格亚,动作/科幻/恐怖/战争,美国/加拿大,英语/俄语/法语/德语,2018-09-22(奥斯汀奇幻电影节)/2018-11-09(美国),110分钟,大君主之役(港)/霸王行动/君主/大君主行动,tt4530422
潜伏4：锁命亡灵,亚当·罗比特尔,雷·沃纳尔,林·沙烨/雷·沃纳尔/安格斯·桑普森/柯克·埃斯沃多/凯特琳·杰拉德/史宾塞·洛克/乔什·斯图沃特/特莎·费勒/阿勒奎·里德/艾娃·寇克尔/皮尔斯·波普/布鲁斯·戴维森/哈维尔·博泰特/马库斯·亨德森/阿曼达·亚罗斯,惊悚/恐怖,美国/加拿大,英语,2018-01-05(美国),103分钟,潜伏4/阴儿房第4章：锁命亡灵(台)/儿凶第四回(港)/潜伏4：最后的线索/潜伏4：最后的钥匙/Insidious:Chapter4,tt5726086
诡怪疑云,德米安·鲁格纳,德米安·鲁格纳,阿里埃尔·查瓦里亚/马克西米利亚诺·吉安尼/诺贝托·冈萨罗,恐怖,阿根廷,西班牙语,2017-10-27(莫比多影展)/2018-05-03(阿根廷),87分钟,惊魂未定/Terrified,tt7549892
月光光心慌慌,大卫·戈登·格林,杰夫·弗拉德利/丹尼·麦克布莱德/大卫·戈登·格林/约翰·卡朋特/黛布拉·希尔,杰米·李·柯蒂斯/朱迪·格雷尔/安迪·马蒂切克/詹姆斯·裘德·柯特尼/尼克·卡斯特尔/哈鲁克·比尔根纳尔/威尔·帕顿/里安·里斯/杰佛逊·豪尔/托比·胡斯/维吉尼亚·加德纳/迪伦·阿诺德/迈尔斯·罗宾斯/德鲁·谢伊德/吉布瑞尔·南谭布/迈克尔·哈瑞蒂/马修·安德森/奥马尔·J·多尔西/克里斯托弗·艾伦·尼尔森/P·J·索尔丝/桑迪·约翰逊/乔恩·埃里克·海克瑟姆/梅诺·佩卢斯/杰瑞德·莫泽/罗布·尼特,惊悚/恐怖,美国,英语,2018-09-08(多伦多电影节)/2018-10-19(美国),106分钟,月光光新慌慌(台)/万圣节归来/万圣节11/Halloween3-D/HalloweenReturns/HalloweenIII,tt1502407
摄影机不要停！,上田慎一郎,上田慎一郎,滨津隆之/真鱼/主浜晴美/秋山柚稀/长屋和彰/细井学/市原洋/山崎俊太郎/大泽真一郎/竹原芳子/吉田美纪/合田纯奈/浅森咲希奈/山口友和/藤村拓矢/岩合智史/高桥恭子,喜剧/恐怖,日本,日语,2017-11-04(东京首映)/2018-06-23(日本),96分钟,尸杀片场(港)/一尸到底(台)/OneCutoftheDead/Kameraotomeruna!,tt7914416
噩梦娃娃屋,巴斯卡·劳吉哈,巴斯卡·劳吉哈,克里斯塔尔·里德/玛莲·法莫/阿纳斯塔西娅·菲利普斯/艾米莉亚·琼斯/泰勒·辛克森/凯文·泡尔/罗布·阿切尔/MariamBernstein/艾丽西亚·约翰斯顿/埃内斯托·格里菲思/亚当·哈蒂格/丹尼斯·科齐/沙龙·巴杰/托尼·布拉加/保罗·特利/戈登·坦纳/埃里克·阿塔瓦尔/保罗·布莱恩特/泰瑞·雷/苏珊娜·普林格尔/马利克·劳吉尔/安吉拉·阿瑟,悬疑/惊悚/恐怖,法国/加拿大,英语/法语,2018-03-14(法国),91分钟,厄梦娃娃屋(台)/鬼域杀人事件(港)/IncidentinaGhostLand,tt6195094
人面鱼：红衣小女孩外传,庄绚维,简士耕,郑人硕/徐若瑄/吴至璿/张书伟/龙劭华/高慧君/陈少卉/辛佳颖,恐怖,台湾,汉语普通话,2018-11-12(金马影展)/2018-11-23(台湾),114分钟,红衣小女孩3/TheDevilFish,tt9283056
黑夜吞噬世界,多米尼克·罗彻,皮特·阿加曼/耶利米·古埃兹/纪尧姆·勒曼/多米尼克·罗彻,安德斯·丹尼尔森·李/格什菲·法拉哈尼/德尼·拉旺/西格丽·博阿茨兹/大卫·卡门诺斯,恐怖,法国,挪威语/英语,2018-03-07(法国),93分钟,夜噬人生(台)/TheNightEatstheWorld,tt4266076
使徒,加雷斯·埃文斯,加雷斯·埃文斯,丹·史蒂文斯/麦克·辛/露西·宝通/比尔·米尔纳/理查德·艾尔芬/克里斯汀·弗劳赛斯/马克·路易斯·琼斯/埃伦·里斯/保罗·希金斯/罗斯·奥亨尼西/斯图尔特·麦克尼尔/安妮斯·埃尔维,悬疑/惊悚/恐怖,美国,英语,2018-10-12(美国),130分钟,,tt6217306
黑森灵,大卫·布鲁克纳,乔·巴顿/亚当·奈韦尔,拉菲·斯波/阿舍尔·阿里/罗伯·詹姆斯-克里尔/山姆·特劳顿/保罗·雷德/马修·尼达姆/雅各布·詹姆斯·贝西克/玛丽亚·厄沃尔特/希拉里·李维斯/彼得·利德尔/弗朗西丝卡·穆拉/克丽·麦克莱恩/赞恩·加库,惊悚/恐怖,英国,英语/瑞典语,2017-09-08(多伦多电影节)/2017-10-13(英国),94分钟,林祭(港),tt5638642
狼屋,乔奎因·科西纳/克里斯托弗·列昂,乔奎因·科西纳/克里斯托弗·列昂/亚历山德拉·莫法特,阿玛莉亚·卡西尼/雷纳·克劳斯,剧情/动画/恐怖,智利/德国,西班牙语/德语,2018-02-22(柏林电影节),75分钟,TheWolfHouse/狼隐之家,tt8173728
死寂,约翰·R·莱昂耐迪,凯莉·凡·戴克/肖恩·范·戴克/蒂姆·雷柏,琪兰·席普卡/斯坦利·图齐/米兰达·奥图/约翰·考伯特/萨拉·阿伯特/凯尔·布瑞特科夫/邓普斯·布瑞克/比利·麦克莱伦/泰勒·拉芙,恐怖,德国/美国,英语,2019-04-10(美国),90分钟,收声刹(港)/寂静杀机(台),tt7315484
猖獗,金成勋,黄肇允/元新渊/黄肇允,玄彬/赵宇镇/张东健/金义城/李善彬/郑满植/徐智慧/赵达焕/金太祐/许成泰/朴镇宇/韩智恩/许俊硕/白秀章/郑惟安,动作/恐怖,韩国,韩语,2018-10-25(韩国),121分钟,尸杀帝国(港)/尸落之城(台)/Rampant,tt6927152
